ID ,Titre ,Sous-titre ,Édition ,Type ,Prix indicatif ,Joueur(s) ,Durée ,Age(s) ,Univers ,Gamme(s) ,Catégorie(s) ,Thème(s) ,Mécanisme(s)
26040 ,Gosu 2 : tactics , ,2012 ,basegame ,18 ,2 à 4 ,15 à 30 ,13+ , ,Gosu ,Jeu de Cartes ,Fantastique Gobelins Guerre ,Affrontement Direct Chance & Hasard Combinaison Gestion de main
37060 ,Hades Trap , ,2020 ,basegame ,0 ,2 à 4 ,20 à 40 ,10+ , ,Hades Trap ,Jeu de plateau ,Labyrinthe Monstres & Créatures Mythologie ,Affrontement Direct
62152 ,Hades Trap - Campagne narrative , ,2020 ,extension ,0 ,2 à 4 ,20 à 40 ,10+ , ,Hades Trap ,Jeu de plateau ,Labyrinthe Monstres & Créatures Mythologie ,Affrontement Direct
50823 ,Hanabi , ,2019 ,basegame ,9.9 ,2 à 5 ,30 ,8+ , ,Hanabi ,Jeu de Cartes ,Abstrait Asie Fête Japon ,Communication Restreinte Coopération Déduction Jeu caché Logique Prise de risque
33240 ,Harry Potter - Bataille à  Poudlard , ,2019 ,basegame ,50 ,2 à 4 ,60 ,11+ ,Harry Potter ,Bataille à  Poudlard ,Jeu de Cartes ,Film & Série Littérature ,Campagne Coopération Deck building Scénarios
41940 ,Harry Potter - Bataille à  Poudlard - Défense contre les Forces du Mal , ,2020 ,basegame ,22.5 ,Duo ,60 ,12+ ,Harry Potter ,Bataille à  Poudlard ,Jeu de Cartes ,Magie ,Deck building Gestion de main
42510 ,Harry Potter - Bataille à  Poudlard - La Monstrueuse Boîte des Monstres , ,2020 ,extension ,26.9 ,2 à 4 ,30 à 60 ,10+ ,Harry Potter ,Bataille à  Poudlard ,Jeu de Cartes ,Film & Série Littérature Magie Monstres & Créatures Sorcellerie ,Coopération Deck building
22968 ,Hero Realms , ,2018 ,basegame ,20 ,2 à 4 ,20 ,12+ , ,Hero Realms ,Jeu de Cartes ,Médiéval Fantastique ,Affrontement Direct Deck building
24116 ,Hero Realms - Archer , ,2018 ,extension ,3.5 ,2 à 4 ,20 à 30 ,12+ , ,Hero Realms ,Jeu de Cartes ,Fantastique Médiéval ,Deck building
54485 ,Hero Realms - Ascendance , ,2022 ,extension ,6.95 ,2 à 4 ,20 ,12+ , ,Hero Realms ,Jeu de Cartes ,Médiéval Fantastique ,Affrontement Direct Deck building
24118 ,Hero Realms - Clerc , ,2018 ,extension ,3.5 ,2 à 4 ,20 à 30 ,12+ , ,Hero Realms ,Jeu de Cartes ,Fantastique Médiéval ,Deck building
24115 ,Hero Realms - Guerrier , ,2018 ,extension ,3.5 ,2 à 4 ,20 à 30 ,12+ , ,Hero Realms ,Jeu de Cartes ,Fantastique Médiéval ,Deck building
32399 ,Hero Realms - La Ruine de Thandar , ,2019 ,extension ,15.9 ,1 à 4 ,30 ,12+ , ,Hero Realms ,Jeu de Cartes ,Médiéval Fantastique ,Coopération Deck building Solo
47168 ,Hero Realms - Le Village Perdu , ,2021 ,extension ,15.9 ,1 à 4 ,30 à 60 ,12+ , ,Hero Realms ,Jeu de Cartes ,Médiéval Fantastique ,Coopération Deck building Solo
54484 ,Hero Realms - Périples : Chasseurs , ,2022 ,extension ,4.2 ,2 à 4 ,20 ,12+ , ,Hero Realms ,Jeu de Cartes ,Médiéval Fantastique ,Affrontement Direct Deck building
54440 ,Hero Realms - Périples : Conquête , ,2022 ,extension ,4.2 ,2 à 4 ,20 ,12+ , ,Hero Realms ,Jeu de Cartes ,Médiéval Fantastique ,Affrontement Direct Deck building
54441 ,Hero Realms - Périples : Découverte , ,2022 ,extension ,4.2 ,2 à 4 ,20 ,12+ , ,Hero Realms ,Jeu de Cartes ,Médiéval Fantastique ,Affrontement Direct Deck building
54443 ,Hero Realms - Périples : Voyageurs , ,2022 ,extension ,4.2 ,2 à 4 ,20 ,12+ , ,Hero Realms ,Jeu de Cartes ,Médiéval Fantastique ,Affrontement Direct Deck building
24114 ,Hero Realms - Sorcier , ,2018 ,extension ,3.5 ,2 à 4 ,20 à 30 ,12+ , ,Hero Realms ,Jeu de Cartes ,Médiéval Fantastique ,Affrontement Direct Deck building
24117 ,Hero Realms - Voleur , ,2018 ,extension ,3.5 ,2 à 4 ,20 à 30 ,12+ , ,Hero Realms ,Jeu de Cartes ,Fantastique Médiéval ,Deck building
29517 ,Hero Realms : Deck de Boss - Dragon , ,2019 ,extension ,8 ,2 à 5 ,20 à 30 ,12+ , ,Hero Realms ,Jeu de Cartes ,Fantastique Médiéval ,Affrontement Direct Deck building
29518 ,Hero Realms : Deck de Boss - Liche , ,2019 ,extension ,8 ,2 à 5 ,20 à 30 ,12+ , ,Hero Realms ,Jeu de Cartes ,Fantastique Médiéval ,Affrontement Direct Deck building
49386 ,Hit! , ,2021 ,basegame ,9.9 ,2 à 5 ,15 ,8+ , ,Hit! ,Jeu de Cartes ,Far West ,Pari Prise de risque Stop ou encore
49017 ,It's a Wonderful Kingdom ,Legends ,2021 ,basegame ,50 ,Duo ,45 à 60 ,14+ , ,It's a Wonderful Kingdom ,Jeu de Cartes ,Conquête Médiéval Fantastique ,Bluff Conquête Draft Duo I Cut  You Choose
35545 ,It's a Wonderful World ,Héritage ,2019 ,basegame ,58 ,1 à 5 ,30 à 60 ,14+ , ,It's a Wonderful World ,Jeu de Cartes ,Bourse & Finances Guerre Science-fiction ,Collection Draft Exploration Gestion de main Gestion de ressources
37133 ,It's a Wonderful World - Corruption & Ascension ,Édition Kickstarter ,2020 ,extension ,22 ,1 à 7 ,30 à 60 ,14+ , ,It's a Wonderful World ,Jeu de Cartes ,Bourse & Finances Guerre Politique Science-fiction Technologie ,Draft Exploration Gestion de ressources
36797 ,It's a Wonderful World - Guerre ou Paix , ,2020 ,extension ,20 ,1 à 5 ,30 à 60 ,14+ , ,It's a Wonderful World ,Jeu de Cartes Jeu Legacy ,Bourse & Finances Guerre Politique Science-fiction Technologie ,Campagne Draft Exploration Gestion de ressources
43921 ,It's a Wonderful World - Loisirs et Décadence ,Édition Kickstarter ,2020 ,extension ,25 ,1 à 7 ,30 à 60 ,14+ , ,It's a Wonderful World ,Jeu de Cartes ,Bourse & Finances Guerre Science-fiction Technologie ,Draft Exploration Gestion de ressources
7470 ,Jaipur , ,2009 ,basegame ,20 ,Duo ,30 ,12+ , ,Jaipur ,Jeu de Cartes ,Animaux Chameaux Commerce Inde ,Combinaison Défausse Duo Gestion de main
7107 ,Jamaïca , ,2010 ,basegame ,38 ,2 à 6 ,40 ,8+ , ,Jamaica ,Jeu de plateau ,Course Pirates ,Affrontement Direct Choix simultanés Course Déduction Parcours
50954 ,Jardins Anglais , ,2021 ,basegame ,13.5 ,1 à 5 ,30 à 60 ,12+ , ,village green ,Jeu de Cartes ,Jardinage Nature Végétaux ,Gestion de main
47693 ,Jekyll vs Hyde , ,2021 ,basegame ,16 ,Duo ,20 ,8+ ,Jekyll & Hyde ,Jekyll vs Hyde ,Jeu de Cartes ,Époque Victorienne Littérature ,Affrontement Direct Asymétrie Duo Plis Pouvoir
26239 ,Jenga , ,2012 ,basegame ,19.95 ,1 à 10 ,30 ,6+ , ,Jenga ,Casse-tête Jeu d'Ambiance ,Humour ,Adresse & Dextérité Affrontement Direct
45602 ,Jungle Speed , ,2019 ,basegame ,20 ,2 à 10 ,20 ,7+ , ,Jungle Speed ,Jeu de Cartes ,Abstrait ,Observation Rapidité
37241 ,Jurassic Parts , ,2020 ,basegame ,29 ,2 à 4 ,30 à 45 ,10+ , ,Jurassic Parts ,Jeu de tuiles ,Animaux Archéologie Dinosaures Préhistoire ,Collection Majorité
397 ,Kingdomino , ,2016 ,basegame ,22 ,2 à 4 ,15 ,8+ ,Kingdomino ,Kingdomino ,Jeu de tuiles ,Médiéval ,Cascade De Dominos Combinaison Construction Placement de tuiles
32934 ,Kingdomino Duel , ,2019 ,basegame ,11.9 ,Duo ,30 ,7+ ,Kingdomino , ,Jeu de dés ,Fantasy ,Duo Roll & Write
47162 ,Kingdomino Origins , ,2021 ,basegame ,27 ,2 à 4 ,15 ,8+ ,Kingdomino ,Kingdomino Origins ,Jeu de tuiles ,Fantastique Préhistoire ,Cascade De Dominos Combinaison Construction Placement de tuiles
3653 ,Kingdoms , ,2012 ,basegame ,30 ,2 à 4 ,30 ,9+ , ,Kingdoms ,Jeu de plateau , ,
33093 ,Korsar , ,2019 ,basegame ,10 ,2 à 8 ,30 ,10+ , ,Korsar ,Jeu de Cartes ,Maritime Pirates ,Contrôle de zone Gestion de main
49816 ,L'Énigme Sans Nom , ,2021 ,basegame ,16 ,1+ ,30 à 60 ,14+ , ,L'Énigme Sans Nom ,Casse-tête ,Abstrait ,Déduction Énigme Logique
38772 ,L'île des chats , ,2020 ,basegame ,49 ,1 à 4 ,60 à 90 ,8+ , ,L'Île Des Chats ,Jeu de plateau Jeu de tuiles ,Animaux Chats Fantastique Les îles Pirates ,Collection Combinaison Draft Placement de tuiles Polyominos
58928 ,La Bataille des Pâtissorciers , ,2022 ,basegame ,7.5 ,Duo ,30 ,8+ , ,La Bataille des Pâtissorciers Matagot Micro-Game ,Jeu de Cartes ,Alimentation Sorcellerie ,Affrontement Direct Gestion de main Mémorisation
26678 ,La Petite Mort , ,2018 ,basegame ,22.5 ,2 à 4 ,30 ,14+ ,La Petite Mort ,La Petite Mort ,Jeu de Cartes ,Bande dessinée Horreur Humour Monstres & Créatures ,Gestion de main Placement Simultanéité
35140 ,La Petite Mort - Course à  la Science , ,2019 ,extension ,9 ,2 à 4 ,30 ,14+ ,La Petite Mort ,La Petite Mort ,Jeu de Cartes ,Bande dessinée Horreur Humour Monstres & Créatures ,Gestion de main Placement Simultanéité
36908 ,Labyrinth - Star Wars , ,2016 ,basegame ,22.95 ,2 à 4 ,20 à 30 ,6+ ,Star Wars ,Labyrinthe ,Jeu de Cartes Jeu de plateau ,Labyrinthe ,Blocage Déplacement Objectif secret Plateau modulaire
52334 ,Las Vegan , ,2022 ,basegame ,15 ,2 à 5 ,20 à 30 ,10+ , , ,Jeu de Cartes ,Alimentation Fruits & légumes ,Plis
